DDX11L1	chr1	11869	14412
WASH7P	chr1	14363	29806
FAM138A	chr1	34554	36081
OR4F5	chr1	69091	70008
OR4F29	chr1	367640	368634
OR4F16	chr1	621059	622053
LINC00115	chr1	761586	762902
FAM41C	chr1	803451	812283
SAMD11	chr1	860260	879955
NOC2L	chr1	879584	894689
KLHL17	chr1	895967	901095
PLEKHN1	chr1	901877	911245
C1orf170	chr1	910579	917497
HES4	chr1	934342	935552
ISG15	chr1	948803	949920
AGRN	chr1	955503	991496
RNF223	chr1	1006346	1009687
C1orf159	chr1	1017198	1051741
MIR200B	chr1	1102484	1102578
MIR200A	chr1	1103243	1103332
MIR429	chr1	1104385	1104467
TTLL10	chr1	1109264	1133315
TNFRSF18	chr1	1138888	1142071
TNFRSF4	chr1	1146706	1149518
SDF4	chr1	1152288	1167411
B3GALT6	chr1	1167629	1170421
FAM132A	chr1	1177826	1182102
UBE2J2	chr1	1189289	1209265
SCNN1D	chr1	1215816	1227409
ACAP3	chr1	1227756	1244989
PUSL1	chr1	1243947	1247057
CPSF3L	chr1	1246965	1260071
GLTPD1	chr1	1260136	1264277
TAS1R3	chr1	1266694	1270686
DVL1	chr1	1270656	1284730
MXRA8	chr1	1288069	1297157
AURKAIP1	chr1	1309110	1310875
CCNL2	chr1	1321091	1334708
MRPL20	chr1	1337288	1342693
ANKRD65	chr1	1353800	1357149
TMEM88B	chr1	1361508	1363167
VWA1	chr1	1370241	1378262
ATAD3C	chr1	1385069	1405538
ATAD3B	chr1	1407143	1433228
ATAD3A	chr1	1447531	1470067
TMEM240	chr1	1470554	1475833
SSU72	chr1	1477053	1510249
C1orf233	chr1	1533392	1535476
MIB2	chr1	1550795	1565990
MMP23B	chr1	1567474	1570639
CDK11B	chr1	1570603	1590473
SLC35E2B	chr1	1592939	1624167
MMP23A	chr1	1631369	1633249
CDK11A	chr1	1634169	1655766
SLC35E2	chr1	1656277	1677431
NADK	chr1	1682671	1711896
GNB1	chr1	1716729	1822495
CALML6	chr1	1846266	1848735
TMEM52	chr1	1849029	1850712
GABRD	chr1	1950780	1962192
PRKCZ	chr1	1981909	2116834
C1orf86	chr1	2115903	2144159
SKI	chr1	2160134	2241558
MORN1	chr1	2252692	2323146
RER1	chr1	2323267	2336883
PEX10	chr1	2336236	2345236
PLCH2	chr1	2357419	2436969
PANK4	chr1	2439972	2458039
HES5	chr1	2460184	2461684
TNFRSF14	chr1	2487078	2496821
FAM213B	chr1	2517930	2522908
MMEL1	chr1	2522078	2564481
TTC34	chr1	2567415	2718286
ACTRT2	chr1	2938046	2939465
PRDM16	chr1	2985732	3355185
ARHGEF16	chr1	3370990	3397677
MEGF6	chr1	3406484	3528059
MIR551A	chr1	3477259	3477354
TPRG1L	chr1	3541566	3546691
WRAP73	chr1	3547331	3569325
TP73	chr1	3569084	3652765
TP73-AS1	chr1	3652548	3663900
CCDC27	chr1	3668962	3688209
SMIM1	chr1	3689352	3692546
LRRC47	chr1	3696784	3713068
CEP104	chr1	3728645	3773778
DFFB	chr1	3773845	3801993
C1orf174	chr1	3805689	3816857
AJAP1	chr1	4714792	4852594
MIR4417	chr1	5624131	5624203
MIR4689	chr1	5922732	5922801
NPHP4	chr1	5922871	6052533
KCNAB2	chr1	6051526	6161253
CHD5	chr1	6161853	6240183
RPL22	chr1	6241329	6269449
RNF207	chr1	6265535	6281359
ICMT	chr1	6281253	6296032
HES3	chr1	6304252	6305638
GPR153	chr1	6307406	6321035
ACOT7	chr1	6324329	6454451
HES2	chr1	6472478	6484730
ESPN	chr1	6484848	6521430
MIR4252	chr1	6489894	6489956
TNFRSF25	chr1	6521211	6526255
PLEKHG5	chr1	6526152	6580121
NOL9	chr1	6581407	6614595
TAS1R1	chr1	6615241	6639817
